post_id,content,timestamp,Nickname,platform,stock_name
103408538,"20프로 수익낫고 51층에 있습니다.
지금 더 들어가야하나..고민되네요.
8만까지는 갈것같은데 말이죠..",2025-03-22T16:32:49+09:00,나는야86,toss,삼성전자
103407496,"국내주식 제일 중요한건 한발 빠른정보 입니다
월요일 아침 급등정보 받아가세요

https://jtbc-0016.tistory.com/1",2025-03-22T15:35:02+09:00,테리아퍼플,toss,삼성전자
103407398,4월4일 배당기준일 배당률 11퍼 주당 2865원 달달하네,2025-03-22T15:30:17+09:00,Joe435gy,toss,삼성전자
103406986,"17일 이후 외국인이 5거래일 동안 1조9791억원을 담음.
외국인 보유율 다시 50.59%로 증가.",2025-03-22T15:05:25+09:00,대치동푼돈벌이,toss,삼성전자
103406910,월요일 조금 주출 할거같은 느낌이지 ???,2025-03-22T15:01:18+09:00,콬콬넛,toss,삼성전자
103406566,토스 투표 (***주식은 앞으로 오를까요 내릴까요) 이제 없어졌나요?,2025-03-22T14:45:51+09:00,새하얀피클,toss,삼성전자
103406480,"안녕하세요
미국, 중국, 인도, 유럽 주식만 하다가 올해 한국에 투자하러 왔습니다.

한국 주식시장이 2023년 공매도를 금지하면서 시세 안정화 메커니즘이 붕괴됐고
그로인해 시장에는 이상 현상이 일어났습니다.

외인들 중에 진득하게 장기 투자를 하는 건전한 장투 외인들 시선에는 한국시장은 공매도 금지로 투자 매력이 없어졌고,
한국 시장이 단기 트레이닝/ 도박을 즐기는 단타 유저들만 가끔 들르는 테마 시장으로 전락했습니다.

결국 한국 주식시장의 시세 조정 기능 붕괴로인해 시장 자체가 밈화, 테마화가 되면서 변동성이 심해졌고, 
주식시장 불확실성, 불안정성으로인해 삼성같은 대형주가 단기간에 폭락하는 사태도 일어났습니다

결국 종합하자면 공매도 금지로 한국 시장이 난장판이 되면서 투자 매력을 잃어서 주가는 1년 넘게 역성장했고 삼성같은 대형 우량주가 테마주마냥 폭락하는 사태가 일어났습니다

부디 울나라 정치인들 우물안에서 이런 이상한 짓 좀 그만했으면 좋겠고요.

4월에 공매도가 다시 들어오는데 , 공매도가 들어오면 그동안 기업 가치에 비해 많이 오른 주식은 크게 조정받을 수 있으니 매출이 없는 로봇/ 양자같은 테마주는 정리하는게 좋을 수 있고,
4월에 단기적으로는 시장 변동성이 심해질 수 있지만 어느정도 시세가 조정되면 다시 시장이 안정화 되면서 건전한 장투 외인들이 쇼핑하러 들어올 수 있습니다.

특히 저평가된 삼성전자같은 대형주들이 앞으로 몇 달 간 상승랠리가 지속 될 수 있고 주식시장을 이끌어갈거로 보이고,

앞으로 투자자분들도 이제는 폭등하는 주식에 올라타기보다는 어느정도 검증된 기업인데 저평가돼있고 재무상태가 좋고 비전있는 주식에 투자하는게 수익이 좋을 수 있습니다

결론은 올해 공매도를 재개하고 상법 개정도 하면 그동안 테마/도박판이 돼었있던 주식시장이 어느정도 신뢰도를 회복하면서 외인 장기투자자들이 몰려올거도 보는데
저같은 경우 코스피가 내후년까지 5000~6000까지도 보는데 
다들  올해 저점에 잘 담아서 내년에 수확 잘 하시길바랍니다.",2025-03-22T14:39:15+09:00,고추튀김z,toss,삼성전자
103406220,"여름 전 까지 최소 8만 원은 갑니다.
부화뇌동 하지 마시고 물량 붙들고 계세요",2025-03-22T14:23:04+09:00,불고기벅어,toss,삼성전자
103405938,아놔,2025-03-22T14:08:08+09:00,형들가즈아,toss,삼성전자
103405392,단타 치는분들이랑 수익 노리는 분들 같은데요,2025-03-22T13:36:02+09:00,줄대박,toss,삼성전자
103405238,787 에 787???ㅋㅋ,2025-03-22T13:28:35+09:00,난이주식을해봤어요,toss,삼성전자
103405218,주식한지 1주일도 안되는데 주말에는 주가변동이 없나요…?,2025-03-22T13:27:39+09:00,기덩이야,toss,삼성전자
103404400,주린이입니다 150만원으로 시작해서 90만원 밖에 안 남았네요… 저 한텐 큰돈인데 이런적은 첨이라 어찌할지 모르겄네요😿😿,2025-03-22T12:49:51+09:00,하지마걱정,toss,삼성전자
103404272,..,2025-03-22T12:44:22+09:00,푸딩냥콩돌이몽실토끼뽀짝냥냥펀,toss,삼성전자
103402700,"커뮤 엉망징창이네
다들 줄먹 하세요
6~7만에 물린 사람들 많아서
올해는 저 위에서 보합할거 같으니까
3년이상 들고 갈 주주 아니면 줄때 먹고 내리는게 맞음",2025-03-22T11:48:11+09:00,이거뭐냐아,toss,삼성전자
103401840,"난 걍 팜.. 손해안봣으니 된듯, 6만대엔 다신 안살거야",2025-03-22T11:14:04+09:00,봉이쓰,toss,삼성전자
103401728,상승장이 언제까지 일까요?,2025-03-22T11:09:52+09:00,쩡크지니,toss,삼성전자
103401128,잘한드아!!!,2025-03-22T10:46:55+09:00,불의정령찡,toss,삼성전자
103400706,5년그래프보면 고양이귀,2025-03-22T10:32:45+09:00,큐티열처리,toss,삼성전자
103398972,"4나노 공정수율이 거진80퍼까지 올라갔고 차세대 공정인 hbm패키징 공정하이브리드공정 을 도입을 처음부터 하고있는중
하이닉스는 시작도안함
Gaa공정을 tsmc보다 더 일찍도입해서 데이터 쌓는중임 길게 보면 또 모른다
그리고 현금이 워낙많아서 장비들 다 사들이고 있는중이고
ddr7만드는 장비들 하이닉스는 없는데 삼성은 이미 다수 보유중 이제 이 장비들로 수율을 높이는데 집중하는중
엑시노스도 좀 해보자",2025-03-22T09:25:04+09:00,0보송0,toss,삼성전자
103398866,"1. 네마녀의 날, 별일 없이 끝나, 쫄 필요 없음.

2. 머스크, 긴급 라이브 켜서 ""존버"" 외치고 회사 상황 설명하자 5% 오르며 마감.

- 정치 때문에 영향 받아서 그렇지 테슬라 미래 가이던스는 밝음.

3. 나이키, 실적은 컨세서스 상회 했지만 관세 영향과 소비 지출 부진으로 인한 미래가이던스 악화로 5% 넘게 하락

- 실적도 실적이지만 요즘 같이 불확실성 강한 장에서는 미래 가이던스가 상당히 중요하게 영향 미치는 것 같음.

4. 트럼프, 교육부 해체 행정명령

5. 미 하원, ""해외 배터리 의존도 감소법"" 법안 통과, 중국의 CATL • BYD 겨냥. 한국 기업에 호재.

6. 전날 크게 하락 했던 양자주, 낙폭 만회하며 보합으로 마무리

1) 퀀텀 컴퓨팅 : -15% > 0%
2) 아이온큐 : 5%
3) 리게티 컴퓨팅 : -10 % > 0%
4) 디웨이브 퀀텀 : -3.8%

7. 젤렌스키, 원전 내놓으라는 트형 제안 거절.

- 고마해라, 마니 묵었다, 아이가?

8. 트럼프, 차세대 전투기 사업자로 보잉 선정, 73조원 짜리 프로젝트.

- 주가는 겨우 3% 오름, 저정도면 10% 이상 올라야 하는거 아님?",2025-03-22T09:21:39+09:00,목포낭만검객부캐,toss,삼성전자
103398482,https://naver.me/GipZMWpi,2025-03-22T09:07:12+09:00,땡깡쟁e,toss,삼성전자
103397940,2년이상 기다리는게 그려지네ㅋㅋ 줄먹하자^^,2025-03-22T08:51:10+09:00,탈출은지능순z,toss,삼성전자
103397260,버티신분들 축하해요,2025-03-22T08:33:35+09:00,도박빚,toss,삼성전자
103395936,"8만전자 가자~
으샤.으샤~~~",2025-03-22T08:02:14+09:00,즐겁짱,toss,삼성전자
103395352,"슬슬 해야겠다
7층서 대기 ㅎ",2025-03-22T07:47:24+09:00,굿딜해,toss,삼성전자
103395308,이쪽은 그냥 재미로만 넣어둔건데 이쪽이 오르네..,2025-03-22T07:45:51+09:00,주시깅깅,toss,삼성전자
